project,bug_id,type,bug_report_id,revision_id,revision_date,bug_report_url,root_causes_count,modified_sources_count,root_causes,modified_sources,error
Chart,19,functional,UNKNOWN,434,2007-10-25 05:56:24 -0700,UNKNOWN,2,1,org.jfree.chart.plot.junit.CategoryPlotTests::testGetRangeAxisIndex: junit.framework.AssertionFailedError; org.jfree.chart.plot.junit.CategoryPlotTests::testGetDomainAxisIndex: junit.framework.AssertionFailedError,org.jfree.chart.plot.CategoryPlot,
Chart,20,functional,UNKNOWN,283,2007-10-08 02:39:54 -0700,UNKNOWN,1,1,"org.jfree.chart.plot.junit.ValueMarkerTests::test1808376: junit.framework.AssertionFailedError: expected:<java.awt.Color[r=0,g=0,b=255]> but was:<java.awt.Color[r=255,g=0,b=0]>",org.jfree.chart.plot.ValueMarker,
Chart,21,functional,UNKNOWN,231,2007-10-03 06:28:03 -0700,UNKNOWN,1,1,"org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests::testGetRangeBounds: junit.framework.AssertionFailedError: expected:<Range[8.5,9.6]> but was:<Range[8.6,9.6]>",org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset,
Chart,22,functional,UNKNOWN,227,2007-10-03 03:58:18 -0700,UNKNOWN,6,1,org.jfree.data.junit.KeyedObjects2DTests::testRemoveColumnByKey: org.jfree.data.UnknownKeyException: The key (C2) is not recognised.; org.jfree.data.junit.KeyedObjects2DTests::testRemoveValue: junit.framework.AssertionFailedError: expected:<1> but was:<2>; org.jfree.data.junit.KeyedObjects2DTests::testGetValueByKey: org.jfree.data.UnknownKeyException: The key (C2) is not recognised.; org.jfree.data.junit.KeyedObjects2DTests::testRemoveColumnByIndex: org.jfree.data.UnknownKeyException: The key (C1) is not recognised.; org.jfree.data.junit.KeyedObjects2DTests::testSetObject: org.jfree.data.UnknownKeyException: The key (C2) is not recognised.; org.jfree.data.junit.KeyedObjects2DTests::testRemoveRowByKey: java.lang.ArrayIndexOutOfBoundsException: -1,org.jfree.data.KeyedObjects2D,
Chart,23,functional,UNKNOWN,210,2007-09-28 08:28:53 -0700,UNKNOWN,1,1,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests::testEquals: junit.framework.AssertionFailedError,org.jfree.chart.renderer.category.MinMaxCategoryRenderer,
Chart,25,functional,UNKNOWN,164,2007-08-28 04:53:09 -0700,UNKNOWN,4,1,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanVertical: junit.framework.AssertionFailedError; org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullDeviationVertical: junit.framework.AssertionFailedError; org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullMeanHorizontal: junit.framework.AssertionFailedError; org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullDeviationHorizontal: junit.framework.AssertionFailedError,org.jfree.chart.renderer.category.StatisticalBarRenderer,
Chart,26,functional,UNKNOWN,103,2007-07-06 04:03:52 -0700,UNKNOWN,22,1,org.jfree.chart.junit.AreaChartTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.junit.BarChart3DTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.junit.BarChartTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.junit.GanttChartTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.junit.GanttChartTests::testDrawWithNullInfo2: junit.framework.AssertionFailedError; org.jfree.chart.junit.LineChart3DTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.junit.LineChartTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.junit.StackedAreaChartTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.junit.StackedBarChart3DTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.junit.StackedBarChartTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.junit.WaterfallChartTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.plot.junit.CategoryPlotTests::test1654215: junit.framework.AssertionFailedError; org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization3: junit.framework.AssertionFailedError; org.jfree.chart.plot.junit.CategoryPlotTests::testSerialization4: junit.framework.AssertionFailedError; org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.renderer.category.junit.IntervalBarRendererTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.renderer.category.junit.LayeredBarRendererTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.renderer.category.junit.LevelRendererTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests::testDrawWithNullInfo: junit.framework.AssertionFailedError; org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests::testDrawWithNullInfo: junit.framework.AssertionFailedError,org.jfree.chart.axis.Axis,
Cli,1,functional,CLI-13,b0e1b80b6d4a10a9c9f46539bc4c7a3cce55886e,2007-05-15 00:47:38 +0000,https://issues.apache.org/jira/browse/CLI-13,1,1,org.apache.commons.cli.bug.BugCLI13Test::testCLI13: junit.framework.AssertionFailedError,org.apache.commons.cli.CommandLine,
Cli,3,functional,cli-1,d35f2fa7a06457469a617677eeb4c1dc21484006,2007-05-28 07:54:52 +0000,https://issues.apache.org/jira/browse/CLI-1,1,1,org.apache.commons.cli.PatternOptionBuilderTest::testSimplePattern: junit.framework.AssertionFailedError: number flag n expected:<4.5> but was:<4.5>,org.apache.commons.cli.TypeHandler,
Cli,10,functional,CLI-156,d72a578a8949e4b1c437ec55997d8786836f139c,2008-05-29 13:35:20 +0000,https://issues.apache.org/jira/browse/CLI-156,1,1,org.apache.commons.cli.ParseRequiredTest::testReuseOptionsTwice: junit.framework.AssertionFailedError: MissingOptionException not thrown,org.apache.commons.cli.Parser,
Cli,16,functional,CLI-123,f104dd060c6c88450ac9ee9eb818b26374512440,2008-07-24 20:28:16 +0000,https://issues.apache.org/jira/browse/CLI-123,7,4,"org.apache.commons.cli2.bug.BugCLI123Test::testMultipleChildOptions: org.apache.commons.cli2.OptionException: Missing option parentOptions; org.apache.commons.cli2.bug.BugCLI123Test::testParentOptionAndChildOption: junit.framework.AssertionFailedError: Maximum restriction for parent not verified!; org.apache.commons.cli2.bug.BugCLI123Test::testSingleChildOption: org.apache.commons.cli2.OptionException: Missing option parentOptions; org.apache.commons.cli2.commandline.DefaultingCommandLineTest::testGetOptions_Order: junit.framework.AssertionFailedError: expected same:<[--help (-?,-h)|login <username>] [<target1> [<target2> ...]]> was not:<[--help (-?,-h)]>; org.apache.commons.cli2.commandline.PreferencesCommandLineTest::testGetOptions_Order: junit.framework.AssertionFailedError: expected same:<[--help (-?,-h)|login <username>] [<target1> [<target2> ...]]> was not:<[--help (-?,-h)]>; org.apache.commons.cli2.commandline.PropertiesCommandLineTest::testGetOptions_Order: junit.framework.AssertionFailedError: expected same:<[--help (-?,-h)|login <username>] [<target1> [<target2> ...]]> was not:<[--help (-?,-h)]>; org.apache.commons.cli2.commandline.WriteableCommandLineImplTest::testGetOptions_Order: junit.framework.AssertionFailedError: expected same:<[--help (-?,-h)|login <username>] [<target1> [<target2> ...]]> was not:<[--help (-?,-h)]>",org.apache.commons.cli2.Option; org.apache.commons.cli2.commandline.WriteableCommandLineImpl; org.apache.commons.cli2.option.GroupImpl; org.apache.commons.cli2.option.OptionImpl,
Cli,17,functional,CLI-163,9c5ce3501938cff01d78b7a1fff10a60abe9e0cf,2008-07-27 23:38:21 +0000,https://issues.apache.org/jira/browse/CLI-163,1,1,org.apache.commons.cli.PosixParserTest::testStopBursting: junit.framework.AssertionFailedError: Confirm  1 extra arg: 2,org.apache.commons.cli.PosixParser,
Cli,18,functional,CLI-164,c8606251c904dfaf5303f71b788e12f7fff15fab,2008-07-28 08:27:46 +0000,https://issues.apache.org/jira/browse/CLI-164,1,1,org.apache.commons.cli.PosixParserTest::testStop2: junit.framework.AssertionFailedError: Confirm -a is not set,org.apache.commons.cli.PosixParser,
Cli,19,functional,CLI-164,b1331806960001da95424315b6103d755107b519,2008-07-28 08:43:28 +0000,https://issues.apache.org/jira/browse/CLI-164,1,1,org.apache.commons.cli.PosixParserTest::testUnrecognizedOption2: junit.framework.AssertionFailedError: UnrecognizedOptionException wasn't thrown,org.apache.commons.cli.PosixParser,
Cli,20,functional,CLI-165,99aa05af2bfef3980ad8f94230cd077e8d30c5ea,2008-07-28 09:47:05 +0000,https://issues.apache.org/jira/browse/CLI-165,1,1,org.apache.commons.cli.PosixParserTest::testStop3: junit.framework.AssertionFailedError: Confirm  3 extra args: 7,org.apache.commons.cli.PosixParser,
Cli,26,functional,CLI-177,aa2434d301c49d100f50af544333886a6767ce9d,2009-03-16 07:26:44 +0000,https://issues.apache.org/jira/browse/CLI-177,1,1,org.apache.commons.cli.OptionBuilderTest::testBuilderIsResettedAlways: junit.framework.AssertionFailedError: we inherited a description,org.apache.commons.cli.OptionBuilder,
Cli,28,functional,CLI-201,3433f467554985a6bd9bf530a4810376be6fe250,2010-06-16 00:00:14 +0000,https://issues.apache.org/jira/browse/CLI-201,1,1,org.apache.commons.cli.ValueTest::testPropertyOptionFlags: junit.framework.AssertionFailedError,org.apache.commons.cli.Parser,
Cli,32,functional,CLI-193,777cb81088d47472df21a452edd5ba568d4b3fdf,2010-07-07 13:48:12 +0000,https://issues.apache.org/jira/browse/CLI-193,2,1,org.apache.commons.cli.HelpFormatterTest::testRenderWrappedTextWordCut: java.lang.StringIndexOutOfBoundsException: String index out of range: 12; org.apache.commons.cli.HelpFormatterTest::testFindWrapPos: junit.framework.AssertionFailedError: wrap position 3 expected:<3> but was:<4>,org.apache.commons.cli.HelpFormatter,
Cli,34,functional,CLI-215,62a3b36efc78e53c233c2fb49cc8199c5eabec1d,2011-04-12 15:55:03 +0000,https://issues.apache.org/jira/browse/CLI-215,2,2,org.apache.commons.cli.CommandLineTest::testGetParsedOptionValue: junit.framework.AssertionFailedError: expected:<foo> but was:<null>; org.apache.commons.cli.OptionBuilderTest::testTwoCompleteOptions: junit.framework.AssertionFailedError: expected:<class java.lang.String> but was:<null>,org.apache.commons.cli.Option; org.apache.commons.cli.OptionBuilder,
Cli,36,functional,CLI-266,afc13c445a4c80432e52d735685b272fadfeeddf,2016-06-21 20:27:06 +0000,https://issues.apache.org/jira/browse/CLI-266,1,2,org.apache.commons.cli.bug.BugCLI266Test::testOptionComparatorInsertedOrder: junit.framework.AssertionFailedError: expected:<[p]> but was:<[x]>,org.apache.commons.cli.OptionGroup; org.apache.commons.cli.Options,
Cli,37,functional,CLI-265,1bf9e6c551b6a2e7d37291673a1ff77c338ce131,2016-09-07 20:19:32 +0000,https://issues.apache.org/jira/browse/CLI-265,1,1,org.apache.commons.cli.bug.BugCLI265Test::shouldParseShortOptionWithoutValue: junit.framework.AssertionFailedError: Second option has been used as value for first option. Actual: -last,org.apache.commons.cli.DefaultParser,
Cli,38,functional,CLI-265,ac2a1c85616f0140418de9190389fe7b80296c39,2016-09-08 05:36:59 +0000,https://issues.apache.org/jira/browse/CLI-265,1,1,"org.apache.commons.cli.bug.BugCLI265Test::shouldParseConcatenatedShortOptions: junit.framework.AssertionFailedError: expected null, but was:<-ab>",org.apache.commons.cli.DefaultParser,
Cli,39,functional,CLI-274,0b453953fa5f55cf2e8fd034d4d55972deb7647a,2017-06-14 09:56:49 +0200,https://issues.apache.org/jira/browse/CLI-274,2,1,"org.apache.commons.cli.PatternOptionBuilderTest::testExistingFilePattern: junit.framework.AssertionFailedError: option g not FileInputStream; org.apache.commons.cli.PatternOptionBuilderTest::testExistingFilePatternFileNotExist: junit.framework.AssertionFailedError: option f parsed expected null, but was:<non-existing.file>",org.apache.commons.cli.TypeHandler,
Cli,40,functional,CLI-282,b0024d482050a08efc36c3cabee37c0af0e57a10,2018-02-26 10:23:40 -0700,https://issues.apache.org/jira/browse/CLI-282,1,1,org.apache.commons.cli.TypeHandlerTest::testCreateValueInteger_failure: junit.framework.AssertionFailedError: Expected exception: org.apache.commons.cli.ParseException,org.apache.commons.cli.TypeHandler,
Closure,1,functional,253,1dfad5043a207e032a78ef50c3cba50488bcd300,2013-01-05 01:20:43 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-253.json,8,1,com.google.javascript.jscomp.CommandLineRunnerTest::testSimpleModeLeavesUnusedParams: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.CommandLineRunnerTest::testForwardDeclareDroppedTypes: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.CommandLineRunnerTest::testDebugFlag1: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.IntegrationTest::testIssue787: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal1: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal2: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.RemoveUnusedVarsTest::testRemoveGlobal3: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.RemoveUnusedVarsTest::testIssue168b: junit.framework.AssertionFailedError:,com.google.javascript.jscomp.RemoveUnusedVars,
Closure,3,functional,864,d80fcc04239ab8c4cf781273c4f9bc54cf06f479,2012-12-19 19:55:44 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-864.json,3,1,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression1a: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression1: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testDoNotInlineCatchExpression3: junit.framework.AssertionFailedError:,com.google.javascript.jscomp.FlowSensitiveInlineVariables,
Closure,4,functional,873,efefb736fccc2039b5fb079710b3f2ac82b8c6e4,2012-12-14 20:20:30 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-873.json,3,1,"com.google.javascript.jscomp.TypeCheckTest::testImplementsExtendsLoop: junit.framework.AssertionFailedError: unexpected warning(s) : JSC_IMPLEMENTS_NON_INTERFACE. can only implement interfaces at [testcode] line 2 : 29, JSC_IMPLEMENTS_NON_INTERFACE. can only implement interfaces at [testcode] line 3 : 26 expected:<1> but was:<2>; com.google.javascript.jscomp.TypeCheckTest::testImplementsLoop: junit.framework.AssertionFailedError: expected:<[Parse error. Cycle detected in inheritance chain of type T]> but was:<[can only implement interfaces]>; com.google.javascript.jscomp.TypeCheckTest::testConversionFromInterfaceToRecursiveConstructor: java.lang.StackOverflowError",com.google.javascript.rhino.jstype.NamedType,
Closure,5,functional,851,59eec92e364b2ec2cec9dd63449f5c0134983f18,2012-11-20 22:15:38 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-851.json,1,1,com.google.javascript.jscomp.InlineObjectLiteralsTest::testNoInlineDeletedProperties: junit.framework.AssertionFailedError:,com.google.javascript.jscomp.InlineObjectLiterals,
Closure,6,functional,635,9f7a353385bf0b93cdaeaa56cc5b1450db790127,2012-11-07 19:30:17 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-635.json,3,1,"com.google.javascript.jscomp.LooseTypeCheckTest::testTypeRedefinition: junit.framework.AssertionFailedError: expected:<2> but was:<1>; com.google.javascript.jscomp.TypeCheckTest::testIssue635b: junit.framework.AssertionFailedError: expected a warning; com.google.javascript.jscomp.TypeCheckTest::testTypeRedefinition: junit.framework.AssertionFailedError: unexpected warning(s) : JSC_DUP_VAR_DECLARATION. variable a.A redefined with type function (new:a.A): undefined, original definition at [testcode]:1 with type enum{a.A} at [testcode] line 1 : 61 expected:<2> but was:<1>",com.google.javascript.jscomp.TypeValidator,
Closure,7,functional,841,e736b1c92981fafdc87f3f41f66918305f173734,2012-10-17 15:53:59 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-841.json,2,1,com.google.javascript.jscomp.ClosureReverseAbstractInterpreterTest::testGoogIsFunction2: junit.framework.AssertionFailedError: Expected: (Object|boolean|number|string); com.google.javascript.jscomp.SemanticReverseAbstractInterpreterTest::testTypeof3: junit.framework.AssertionFailedError: Expected: (Object|boolean|number|string),com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter,
Closure,8,functional,820,6300a43566d4adcf8828128267808a8740edc835,2012-09-28 17:52:12 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-820.json,1,1,com.google.javascript.jscomp.CollapseVariableDeclarationsTest::testIssue820: junit.framework.AssertionFailedError:,com.google.javascript.jscomp.CollapseVariableDeclarations,
Closure,10,functional,821,0884a4cbef1c82153ef306477a12af0480385a35,2012-09-21 17:50:43 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-821.json,1,1,com.google.javascript.jscomp.PeepholeFoldConstantsTest::testIssue821: junit.framework.AssertionFailedError:,com.google.javascript.jscomp.NodeUtil,
Closure,11,functional,810,482b767639e6eec7c30d8898851560c41b66d885,2012-09-12 22:16:03 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-810.json,2,1,com.google.javascript.jscomp.TypeCheckTest::testGetprop4: junit.framework.AssertionFailedError: expected a warning; com.google.javascript.jscomp.TypeCheckTest::testIssue810: junit.framework.AssertionFailedError: expected a warning,com.google.javascript.jscomp.TypeCheck,
Closure,12,functional,794,d06ac163013a3779fcec7c2f544ba99d08f69f58,2012-08-10 19:39:40 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-794.json,1,1,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testIssue794b: junit.framework.AssertionFailedError:,com.google.javascript.jscomp.MaybeReachingVariableUse,
Closure,13,functional,787,d6d733f461ee5ba26e9326c1c7609f1f00d6d2db,2012-08-02 17:53:06 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-787.json,1,1,com.google.javascript.jscomp.IntegrationTest::testIssue787: junit.framework.AssertionFailedError:,com.google.javascript.jscomp.PeepholeOptimizationsPass,
Closure,14,functional,779,4b15b25f400335b6e2820cb690430324748372f9,2012-07-24 21:04:32 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-779.json,3,1,com.google.javascript.jscomp.CheckMissingReturnTest::testIssue779: junit.framework.AssertionFailedError: Unexpected error(s): JSC_MISSING_RETURN_STATEMENT. Missing return statement. Function expected to return number. at testcode line 1 : 24 expected:<0> but was:<1>; com.google.javascript.jscomp.ControlFlowAnalysisTest::testDeepNestedFinally: junit.framework.AssertionFailedError: No cross edges found; com.google.javascript.jscomp.ControlFlowAnalysisTest::testDeepNestedBreakwithFinally: junit.framework.AssertionFailedError: No cross edges found,com.google.javascript.jscomp.ControlFlowAnalysis,
Closure,15,functional,773,968b3f467f51c6bfec18af1fbcf980a0f19a1fb3,2012-07-09 21:33:55 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-773.json,1,1,com.google.javascript.jscomp.FlowSensitiveInlineVariablesTest::testSimpleForIn: junit.framework.AssertionFailedError:,com.google.javascript.jscomp.FlowSensitiveInlineVariables,
Closure,16,functional,772,3b97e5e4212c769daa22a96094ed19b4658c8760,2012-07-09 16:18:36 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-772.json,2,1,com.google.javascript.jscomp.IntegrationTest::testIssue772: junit.framework.AssertionFailedError: Expected no warnings or errors; com.google.javascript.jscomp.ScopedAliasesTest::testIssue772: junit.framework.AssertionFailedError: Expected: <null> but was: Node tree inequality:,com.google.javascript.jscomp.ScopedAliases,
Closure,18,functional,768,ea119a2d06328852763f9ee447c3bf74fa1f83dc,2012-07-03 04:44:08 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-768.json,1,1,com.google.javascript.jscomp.IntegrationTest::testDependencySorting: junit.framework.AssertionFailedError:,com.google.javascript.jscomp.Compiler,
Closure,20,functional,759,ebf229b05f4ee71bc05d70830f5dd5683271d661,2012-06-21 22:45:36 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-759.json,1,1,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntaxTest::testSimpleFunctionCall: junit.framework.AssertionFailedError:,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax,
Closure,21,functional,753,1787d7b2cff83a0f177dd958033c53e4502406d2,2012-06-20 18:05:43 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-753.json,1,1,"com.google.javascript.jscomp.CheckSideEffectsTest::testUselessCode: junit.framework.AssertionFailedError: There should be one warning, repeated 1 time(s). expected:<1> but was:<0>",com.google.javascript.jscomp.CheckSideEffects,
Closure,22,functional,753,43a55234ef122a1ed98681ce0350506207b878d5,2012-06-19 20:55:55 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-753.json,1,1,"com.google.javascript.jscomp.CheckSideEffectsTest::testUselessCode: junit.framework.AssertionFailedError: There should be one warning, repeated 1 time(s). expected:<1> but was:<0>",com.google.javascript.jscomp.CheckSideEffects,
Closure,23,functional,747,b59cdd9e2dc64d2db86b90982c200a78f2f85e50,2012-06-07 22:48:58 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-747.json,1,1,com.google.javascript.jscomp.PeepholeFoldConstantsTest::testFoldGetElem: junit.framework.AssertionFailedError: Unexpected error(s): JSC_INDEX_OUT_OF_BOUNDS_ERROR. Array index out of bounds: NUMBER 0.0 1 [source_file: testcode] at testcode line 1 : 10 expected:<0> but was:<1>,com.google.javascript.jscomp.PeepholeFoldConstants,
Closure,24,functional,737,70ca6014779735bdc52ca0e80e528257829a15e7,2012-05-24 15:54:23 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-737.json,1,1,com.google.javascript.jscomp.ScopedAliasesTest::testNonAliasLocal: junit.framework.AssertionFailedError: There should be one error.  expected:<1> but was:<0>,com.google.javascript.jscomp.ScopedAliases,
Closure,26,functional,732,372eb11e44b8559004bfe78a5b4003caf0072135,2012-05-18 23:57:52 +0000,https://storage.googleapis.com/google-code-archive/v2/code.google.com/closure-compiler/issues/issue-732.json,7,1,com.google.javascript.jscomp.CommandLineRunnerTest::testTransformAMDAndProcessCJS: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.CommandLineRunnerTest::testProcessCJS: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.ProcessCommonJSModulesTest::testExports: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.ProcessCommonJSModulesTest::testModuleName: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.ProcessCommonJSModulesTest::testDash: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.ProcessCommonJSModulesTest::testVarRenaming: junit.framework.AssertionFailedError:; com.google.javascript.jscomp.ProcessCommonJSModulesTest::testWithoutExports: junit.framework.AssertionFailedError:,com.google.javascript.jscomp.ProcessCommonJSModules,
